Nombre gimnasio,Comuna,Año apertura,Socios activos,Usuarios registrados,Visitas mensuales promedio,Fuente año apertura,Fuente datos usuarios,Observaciones
Casa Boulder,Providencia,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Bloclab,Providencia,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Boulder Factory,La Reina,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Hangar Boulder,San Miguel,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
El Muro,La Reina,2004,Por conseguir,Por conseguir,Por conseguir,Sitio oficial Gimnasio El Muro,Por conseguir,
Gravity Boulder,Las Condes,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Ragni Climbing,Las Condes,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Muro Alpino,Santiago,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Cangre Boulder,Macul,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Ironwall,Las Condes,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Rocaboulder,La Florida,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Baguales Climbing,Colina,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Rocódromo Mupun,Puente Alto,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Atomik Boulder,Ñuñoa,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Bulder Treparoca,Conchalí,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Espacio Boulder,Lampa,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Bloque Nómade,Ñuñoa,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Delko Boulder Pirque,Pirque,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Santiago Boulder Escalada,Santiago,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Summit Boulder,Santiago,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Monos Climbing,Maipú,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Muro Mall Sport,Las Condes,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Muro de Escalada El Llano,Quinta Normal,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
Perro Chico Boulder,Ñuñoa,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
La Sierra Boulder,Peñalolén,Por verificar,Por conseguir,Por conseguir,Por conseguir,Por verificar,Por conseguir,
