Región de residencia;Porcentaje de escaladores encuestados
Región de Arica y Parinacota (XV);0,7%
Región de Tarapacá (I);0,8%
Región de Antofagasta (II);1,9%
Región de Atacama (III);0,9%
Región de Coquimbo (IV);3,8%
Región de Valparaíso (V);9,1%
Región Metropolitana de Santiago (RM);53,7%
Región del Libertador General Bernardo O'Higgins (VI);2,6%
Región del Maule (VII);3,2%
Región de Ñuble (XVI);1,3%
Región del Biobío (VIII);5,9%
Región de La Araucanía (IX);4,6%
Región de Los Ríos (XIV);3,6%
Región de Los Lagos (X);4,1%
Región de Aysén del General Carlos Ibáñez del Campo (XI);2,1%
Región de Magallanes y de la Antártica Chilena (XII);1,8%
